CODICE_TITOLO_STUDIO;DESCRIZIONE_TITOLO_STUDIO
0;TITOLO NON INSERITO
00;TITOLO NON INSERITO
10;SA LEGGERE E SCRIVERE - SENZA TITOLO DI STUDIO
20;3^ ELEMENTARE - PROSCIOGLIMENTO
30;LICENZA ELEMENTARE
40;LICENZA DI SCUOLA MEDIA INFERIORE O TITOLI EQUIPOLLENTI
50;LICENZA DI SCUOLA MEDIA SUPERIORE O TITOLI EQUIPOLLENTI
60;LAUREA
70;TITOLI O DIPLOMI PROFESSIONALI POST LICENZA ELEMENTARE
80;TITOLI O DIPLOMI PROFESSIONALI POST MEDIA INFERIORE
90;TITOLI O DIPLOMI PROFESSIONALI POST MEDIA SUPERIORE
99;TITOLO NON INSERITO
