CODICE_TEMPO_AMMINISTRATIVO;DESCRIZIONE_TEMPO_AMMINISTRATIVO
00;ELEZIONI
04;DIMISSIONI DI ALMENO LA META' DEL CONSIGLIO
05;SOSPENSIONE DEL CONSIGLIO
06;SCIOGLIMENTO DEL CONSIGLIO
10;VARIAZIONE TERRITORIALE
12;ENTE DI NUOVA ISTITUZIONE
13;COMMISSARIO CON POTERI GIUNTA O SINDACO
14;COMMISSARIO CON I SOLI POTERI DEL CONSIGLIO
23;ELEZIONI NON AVVENUTE PER MANCATA PRESENTAZIONE DI LISTE
24;UNICA LISTA PRESENTATA NON HA RAGGIUNTO IL QUORUM
25;ELEZIONI NULLE MANCATO RAGGIUNGIMENTO DEL QUORUM
26;ELEZIONI INDETTE, SOSPESE O NON AVVENUTE PER CAUSA FORZA MAGGIORE
40;SINDACO E GIUNTA DIMISSIONARI
41;CONSIGLIO DIMISSIONARIO SINDACO E GIUNTA IN CARICA
43;ANNULLAMENTO PARZIALE ELEZIONI
44;ANNULLAMENTO TOTALE (DECISIONE PROVVISORIA DEL TAR)
45;ANNULLAMENTO TOTALE (SENTENZA DEFINITIVA DEL CONSIGLIO DI STATO)
50;MANCATA ELEZIONE SINDACO E GIUNTA DURANTE IL QUINQUENNIO
51;MANCATA ELEZIONE SINDACO E GIUNTA DOPO ELEZIONI
52;MANCATA NOMINA GIUNTA DOPO ELEZIONI (TRENTINO ALTO ADIGE)
53;DIMISSIONI SINDACO E/O OLTRE META' ASSESSORI
54;DIMISSIONI DI ALMENO LA META' CONSIGLIO SICILIA
55;SOSPENSIONE SICILIA
56;EX DL N.164/1991
57;MANCATA ATTUAZIONE STATUTO
58;DECADENZA SICILIA
59;ELEZIONI RINVIATE
60;ELEZIONI NON AVVENUTE PER RICUSAZIONE LISTE
61;INCANDIDABILITA', INELEGGIBILITA', INCOMPATIBILITA', NULLITA', MANCATA CONVALIDA DEL SINDACO
62;EX ART.20 LEG.81 - CONSIGLIO E GIUNTA IN CARICA, PRESIDENTE O SINDACO NON IN CARICA
63;SCIOGLIMENTO EX ART.20 L.81 GIUNTA E CONSIGLIO IN CARICA
64;SCIOGLIMENTO CONSIGLIO, MOZIONE DI SFIDUCIA EX ART.18 L.81-SICILIA
65;REVOCA O MANCATA CONVALIDA CONSIGLIO
66;CESSAZIONE CARICA SINDACO/PRESIDENTE PROVINCIA NELLA REGIONE SICILIA
67;DECADENZA CONSIGLIO SICILIA EX ART.16 L.7/1992
68;DIMISSIONE O DECADENZA CONSIGLIO SICILIA ART.18 L.78 (RIMOZIONE SINDACO)
69;NOMINA COMMISSARIO POTERI CONSIGLIO SICILIA
70;COMMISSARIO CON FUNZIONI SINDACO E GIUNTA SICILIA
71;MOZIONE DI SFIDUCIA
72;COMMISSARIO CON POTERI DEL SINDACO, DELLA GIUNTA E DEL CONSIGLIO (DIMISSIONI SINDACO E GIUNTA)
73;SCIOGLIMENTO EX ART.18 (MOZIONE DI SFIDUCIA)
74;SOSPENSIONE OPE LEGIS SINDACO E ASSESSORI
75;DIMISSIONI SINDACO E PRESIDENTE PROVINCIA NELLA REGIONE SICILIA - CESSAZIONE GIUNTA E CONSIGLIO ART.11L.R35/97
76;MOZIONE DI SFIDUCIA SINDACO E PRESIDENTE PROVINCIA NELLA REGIONE SICILIA - CESSAZIONE GIUNTA E CONSIGLIO ART.10 L.R.35/97
80;DIMISSIONI SINDACO EX ART. 8 L.120 DEL 30/04/99
81;SCIOGLIMENTO EX ART.8 COMMA 4 L.120 DEL 30/4/99
90;REINTEGRAZIONE, RETTIFICA RISULTATI O SOLO BALLOTTAGGIO
91;ELEZIONI PARZIALI SINDACO SICILIA
92;ELEZIONI PARZIALI CONSIGLIO SICILIA
93;ELEZIONI PARZIALI ITALIA
94;ELEZIONI SOLO BALLOTTAGGIO
95;REINTEGRAZIONE DELLA SOLA GIUNTA 
99;EVOLUZIONE AMMINISTRATIVA
