COD_REGIONE;DESC_REGIONE;COD_PROVINCIA;DESC_PROVINCIA;COD_COMUNE;DESC_COMUNE;SIGLA_PROVINCIA;ANNO_CENSIMENTO;POPOLAZIONE_CENSITA_TOT;MAGG_PROP;DESC_TEMPO_GESTIONE;DATA_TEMPO_ELETTORALE;DATA_BALLOTTAGGIO;CONSIGLIERI_SPETTANTI;ASSESSORI_ASSEGNATI;SIGLA_TITOLO_ACCADEMICO;COGNOME;NOME;SESSO;DATA_NASCITA;DESC_SEDE_NASCITA;SEQ_ORDINA;DESCRIZIONE_CARICA;DATA_NOMINA;DESC_PARTITO;TIPO_MOVIMENTAZIONE;COD_MOVIMENTAZIONE;DESCRIZIONE;DATA_MOVIMENTAZIONE;DATA_CESSAZIONE;TITOLO_DI_STUDIO;PROFESSIONE
01;PIEMONTE;000;;0000;;;2011;4363916;;ORDINARIA;25/05/2014;;51;11;ON;CHIAMPARINO;SERGIO;M;01/09/1948;MONCALIERI (TO);10;Presidente della regione;25/05/2014;CHIAMPARINO PRESIDENTE;N;901;Proclamazione;25/05/2014;;LAUREA;Pensionati e persone ritirate dal lavoro
01;PIEMONTE;000;;0000;;;2011;4363916;;ORDINARIA;25/05/2014;;51;11;;RESCHIGNA;ALDO;M;06/04/1956;VERBANIA (VB);20;Vicepresidente della regione di origine elettiva;16/06/2014;CHIAMPARINO PRESIDENTE;N;901;Proclamazione;16/06/2014;;LICENZA DI SCUOLA MEDIA SUP. O TITOLI EQUIPOLLENTI;Impiegati di aziende, imprese, enti economici e soggetti di diritto privato con qualifiche direttive
01;PIEMONTE;000;;0000;;;2011;4363916;;ORDINARIA;25/05/2014;;51;11;PROF;VALMAGGIA;ALBERTO;M;17/01/1959;CUNEO (CN);50;Assessore;16/06/2014;CHIAMPARINO PER IL PIEMONTE;N;901;Proclamazione;16/06/2014;;LAUREA;Professori di accademie, conservatori e altre istituzioni scolastiche assimilate
01;PIEMONTE;000;;0000;;;2011;4363916;;ORDINARIA;25/05/2014;;51;11;;PENTENERO;GIOVANNA;F;08/06/1964;CHIVASSO (TO);50;Assessore;16/06/2014;PARTITO DEMOCRATICO;N;901;Proclamazione;16/06/2014;;LICENZA DI SCUOLA MEDIA SUP. O TITOLI EQUIPOLLENTI;Insegnanti di scuola primaria e materna
01;PIEMONTE;000;;0000;;;2011;4363916;;ORDINARIA;25/05/2014;;51;11;DOTT;CERUTTI;MONICA;F;22/12/1964;TORINO (TO);50;Assessore;16/06/2014;SINISTRA ECOLOGIA LIBERTA';N;901;Proclamazione;16/06/2014;;LAUREA;CONDIZIONI NON PROFESSIONALI
01;PIEMONTE;000;;0000;;;2011;4363916;;ORDINARIA;25/05/2014;;51;11;;FERRERO;GIORGIO;M;18/02/1966;TORINO (TO);50;Assessore;16/06/2014;CHIAMPARINO PRESIDENTE;N;901;Proclamazione;16/06/2014;;LICENZA DI SCUOLA MEDIA SUP. O TITOLI EQUIPOLLENTI;Agricoltori e operai agricoli
01;PIEMONTE;000;;0000;;;2011;4363916;;ORDINARIA;25/05/2014;;51;11;;BALOCCO;FRANCESCO;M;12/11/1952;FOSSANO (CN);50;Assessore;16/06/2014;PARTITO DEMOCRATICO;N;901;Proclamazione;16/06/2014;;LICENZA DI SCUOLA MEDIA SUP. O TITOLI EQUIPOLLENTI;ESERCENTI O ADDETTI AD ATTIVITA' AGRICOLE, FORESTALI, DI ALLEVAMENTO, CACCIA E PESCA
01;PIEMONTE;000;;0000;;;2011;4363916;;ORDINARIA;25/05/2014;;51;11;PROF;FERRARI;AUGUSTO;M;05/07/1965;NOVARA (NO);50;Assessore;16/06/2014;PARTITO DEMOCRATICO;N;901;Proclamazione;16/06/2014;;LAUREA;Professori di accademie, conservatori e altre istituzioni scolastiche assimilate
01;PIEMONTE;000;;0000;;;2011;4363916;;ORDINARIA;25/05/2014;;51;11;ING;FERRARIS;GIOVANNI MARIA;M;19/11/1967;TORINO (TO);50;Assessore;16/06/2014;MODERATI;N;901;Proclamazione;16/06/2014;;LAUREA;Ingegneri (meccanici, metallurgico-minerari, elettrotecnici, elettronici e in telecomunicazioni, chimici, civili, ecc.)
01;PIEMONTE;000;;0000;;;2011;4363916;;ORDINARIA;25/05/2014;;51;11;DOTT;SAITTA;ANTONINO;M;15/07/1950;RADDUSA (CT);60;Assessore non di origine elettiva;16/06/2014;;N;901;Proclamazione;16/06/2014;;LAUREA;Pensionati e persone ritirate dal lavoro
