CODICE_PROFESSIONE;DESCRIZIONE_PROFESSIONE
0;PROFESSIONE NON INSERITA
00;PROFESSIONE NON INSERITA
000;PROFESSIONE NON INSERITA
011;PERSONE IN CERCA DI PRIMA OCCUPAZIONE
012;DISOCCUPATI
021;SCOLARI E STUDENTI
031;CASALINGHE
041;PERSONE RITIRATE DAL LAVORO
042;PROPRIETARI E BENESTANTI
051;ECCLESIASTICI IN CONDIZIONE NON PROFESSIONALE
052;INFERMI, INVALIDI E RICOVERATI
053;INABILI PER ETA' AVANZATA
054;DETENUTI E MENDICANTI
055;BAMBINI CHE NON FREQUENTANO ANCORA LA SCUOLA
056;RAGAZZI DI FAMIGLIA
111;PROFESSORI UNIVERSITARI E ASSIMILATI
112;PROFESSORI DI SCUOLA SECONDARIA SUPERIORE E ASSIMILATI
113;PROFESSORI DI SCUOLA MEDIA E ASSIMILATI
114;INSEGNANTI DI SCUOLA ELEMENTARE E ASSIMILATI
115;PRESIDI, CAPI DI ISTITUTI DI ISTRUZIONE E DIRETTORIDIDATTICI
116;INSEGNANTI NON ALTROVE CLASSIFICATI
117;CULTORI DI DISCIPLINE NON ALTROVE CLASSIFICATI
121;SCRITTORI, GIORNALISTI E PUBBLICISTI
122;PITTORI, SCULTORI E ASSIMILATI
123;REGISTI, DIRETTORI ARTISTICI, COREOGRAFI E TECNICI DELLO SPETTACOLO
124;MUSICISTI, ORCHESTRALI, ARTISTI LIRICI E ATTORI
125;ARTISTI DI VARIETA' E ASSIMILATI
126;ATLETI, ALLENATORI E ASSIMILATI
131;ARCIVESCOVI, VESCOVI DIOCESANI E SUPERIORI GENERALI
132;PARROCI E ALTRI SACERDOTI ADDETTI ALLA CURA DELLE ANIME
133;MINISTRI DI CULTI NON CATTOLICI
141;MEDICI CHIRURGHI GENERICI
142;MEDICI CHIRURGHI SPECIALISTI
143;DENTISTI
144;FARMACISTI
145;OSTETRICHE
146;INFERMIERI E ASSIMILATI
147;OPERATORI RADIOGRAFICI, OTTICI, ODONTOTECNICI E ASSIMILATI
148;ASSISTENTI, TECNICI SANITARI E ASSIMILATI
151;MAGISTRATI E GIURISTI
152;AVVOCATI E PROCURATORI LEGALI
153;NOTAI
161;AGRONOMI, PERITI AGRARI, FORESTALI, ZOOTECNICI E ASSIMILATI
162;VETERINARI
163;BIOLOGI, ZOOLOGI E NATURALISTI
171;FISICI, ASTRONOMI E GEOLOGI
172;CHIMICI 
173;INGEGNERI EDILI
174;ALTRI INGEGNERI
175;ARCHITETTI
176;GEOMETRI E PERITI EDILI
177;PERITI INDUSTRIALI, PERITI CHIMICI, PERITI D'ARTE E ASSIMILATI
178;DISEGNATORI TECNICI E CARTOGRAFI
179;TECNICI DI IMPIANTI NUCLEARI
181;MATEMATICI, STATISTICI, ATTUARI, ECONOMISTI E SOCIOLOGI
182;COMMERCIALISTI E ASSIMILATI
191;TECNICI CON MANSIONI DIRETTIVE E DI CONCETTO ESCLUSE LE PROFESIONI AGRICOLE
192;TECNICI CON MANSIONI ESECUTIVE ESCLUSE LE PROFESSIONI AGRICOLE
