CODICE_DIMISSIONI;DESCRIZIONE_DIMISSIONI
01;DIMISSIONI
02;SCADENZA NATURALE MANDATO
03;DECESSO
04;DIMISSIONE DEL CONSIGLIO
05;SOSPENSIONE DEL CONSIGLIO
06;SCIOGLIMENTO DEL CONSIGLIO
07;CAMBIO COLORE POLITICO
08;ANNULLAMENTO O RETTIFICA RISULTATI
09;DECADENZA
10;VARIAZIONE TERRITORIALE
11;AUTOSOSPENSIONE
13;SOSPENSIONE
14;DIMISSIONI SINDACO O PRESIDENTE PROVINCIALE
15;GIUNTA DECADUTA PER DIMISSIONI SINDACO O DI META' DEGLI ASSESSORI
16;MOZIONE SFIDUCIA COSTRUTTIVA
17;RIMOZIONE
18;SOSPENSIONE EX L. 18/1/1992
19;DECADENZA EX L. 18/1/1992
20;SOSPENSIONE DA PARTE DELLA AUTORITA' GIUDIZIARIA
21;REVOCA
22;INELEGGIBILITA', INCANDIDABILITA', INCOMPATIBILITA'
23;ASSENZA O IMPEDIMENTO TEMPORANEO SINDACO O PRESIDENTE
30;INCOMPATIBILITA' ASSESSORE REGIONALE SARDEGNA
31;INCOMPATIBILITA' ASSESSORE O CONSIGLIERE
40;MOZIONE DI SFIDUCIA EX ART.18 L.81/1993
41;RINNOVO ELEZIONE PER CESSAZIONE CARICA SINDACO O PRESIDENTE
42;CESSAZIONE COMUNE PER FUSIONE
43;CESSAZIONE COMUNE
